Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
0,322,286,4.59163e-41,0,0
0,322,286,0.503724,0.59748,8.55263e-08
5,32570,2997046032,4.59163e-41,0,0
5,365,196,4.59163e-41,0,0
5,365,196,0.571537,0.408855,-0.0283217
6,32570,2997046032,4.59163e-41,0,0
6,362,160,4.59163e-41,0,0
6,362,160,0.566949,0.335152,-0.0475205
9,32570,2997046032,4.59163e-41,0,0
9,340,198,4.59163e-41,0,0
9,340,198,0.531415,0.413273,-0.0279059
10,32570,2997046032,4.59163e-41,0,0
10,329,178,4.59163e-41,0,0
10,329,178,0.514127,0.372499,-0.056121
0,32570,2997046032,4.59163e-41,0,0
0,322,283,4.59163e-41,0,0
0,322,283,0.504445,0.591423,5.78079e-08
5,32570,2997046032,4.59163e-41,0,0
5,362,192,4.59163e-41,0,0
5,362,192,0.566616,0.401644,-0.0265
6,32570,2997046032,4.59163e-41,0,0
6,356,161,4.59163e-41,0,0
6,356,161,0.556693,0.335947,-0.0517943
9,32570,2997046032,4.59163e-41,0,0
9,335,196,4.59163e-41,0,0
9,335,196,0.524908,0.409124,-0.0239083
10,32570,2997046032,4.59163e-41,0,0
10,323,180,4.59163e-41,0,0
10,323,180,0.505393,0.377044,-0.0590317
0,32570,2997046032,4.59163e-41,0,0
0,326,281,4.59163e-41,0,0
0,326,281,0.509935,0.586888,2.15815e-08
5,32570,2997046032,4.59163e-41,0,0
5,360,190,4.59163e-41,0,0
5,360,190,0.563711,0.395932,-0.0242427
6,32570,2997046032,4.59163e-41,0,0
6,351,161,4.59163e-41,0,0
6,351,161,0.549049,0.335483,-0.0487845
9,32570,2997046032,4.59163e-41,0,0
9,335,193,4.59163e-41,0,0
