Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
6,530,84,4.59121e-41,0,0
6,530,84,0.82869,0.176505,-0.0590515
9,32679,845699152,4.59121e-41,0,0
9,485,112,4.59121e-41,0,0
9,485,112,0.758314,0.234732,-0.0387764
10,32679,845699152,4.59121e-41,0,0
10,491,65,4.59121e-41,0,0
10,491,65,0.768347,0.136315,-0.0575464
0,32679,845699152,4.59121e-41,0,0
0,455,212,4.59121e-41,0,0
0,455,212,0.711733,0.443426,5.02583e-07
5,32679,845699152,4.59121e-41,0,0
5,517,119,4.59121e-41,0,0
5,517,119,0.809361,0.248252,-0.035437
6,32679,845699152,4.59121e-41,0,0
6,536,82,4.59121e-41,0,0
6,536,82,0.839026,0.171361,-0.059294
9,32679,845699152,4.59121e-41,0,0
9,491,108,4.59121e-41,0,0
9,491,108,0.768506,0.226723,-0.0386851
10,32679,845699152,4.59121e-41,0,0
10,498,62,4.59121e-41,0,0
10,498,62,0.778901,0.129216,-0.057882
0,32679,845699152,4.59121e-41,0,0
0,460,209,4.59121e-41,0,0
0,460,209,0.719775,0.437217,5.04305e-07
5,32679,845699152,4.59121e-41,0,0
5,523,117,4.59121e-41,0,0
5,523,117,0.817387,0.24527,-0.037176
6,32679,845699152,4.59121e-41,0,0
6,542,80,4.59121e-41,0,0
6,542,80,0.847792,0.167083,-0.0618319
9,32679,845699152,4.59121e-41,0,0
9,496,107,4.59121e-41,0,0
9,496,107,0.776127,0.223781,-0.0412524
10,32679,845699152,4.59121e-41,0,0
10,503,59,4.59121e-41,0,0
10,503,59,0.785967,0.124037,-0.0614991
0,32679,845699152,4.59121e-41,0,0
0,466,209,4.59121e-41,0,0
0,466,209,0.729171,0.435645,4.80181e-07
5,32679,845699152,4.59121e-41,0,0
5,527,116,4.59121e-41,0,0
5,527,116,0.824162,0.242249,-0.035396
6,32679,845699152,4.59121e-41,0,0
6,546,78,4.59121e-41,0,0
6,546,78,0.853527,0.16419,-0.0597578
9,32679,845699152,4.59121e-41,0,0
9,500,106,4.59121e-41,0,0
9,500,106,0.782494,0.221798,-0.039361
10,32679,845699152,4.59121e-41,0,0
10,506,58,4.59121e-41,0,0
10,506,58,0.791324,0.122677,-0.0591907
0,32679,845699152,4.59121e-41,0,0
0,468,210,4.59121e-41,0,0
0,468,210,0.732641,0.438304,5.22387e-07
5,32679,845699152,4.59121e-41,0,0
5,530,114,4.59121e-41,0,0
5,530,114,0.829179,0.238589,-0.0364637
6,32679,845699152,4.59121e-41,0,0
6,549,76,4.59121e-41,0,0
6,549,76,0.859136,0.160204,-0.0614714
9,32679,845699152,4.59121e-41,0,0
9,503,104,4.59121e-41,0,0
9,503,104,0.786869,0.218036,-0.0398518
10,32679,845699152,4.59121e-41,0,0
10,509,56,4.59121e-41,0,0
10,509,56,0.795986,0.116903,-0.0604663
0,32679,845699152,4.59121e-41,0,0
0,466,207,4.59121e-41,0,0
0,466,207,0.729107,0.431548,5.22465e-07
5,32679,845699152,4.59121e-41,0,0
5,533,112,4.59121e-41,0,0
5,533,112,0.833178,0.234897,-0.0358882
6,32679,845699152,4.59121e-41,0,0
6,552,74,4.59121e-41,0,0
